N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,맥쿼리인프라,"12,000",40,-0.33%,0,"52,294","435,781",12.88,"436,015",N/A,N/A,
60,LG이노텍,"220,000","7,500",-3.30%,"5,000","52,068","23,667",20.18,"198,524",8.80,25.85,
61,한화에어로스페이스,"99,600","1,400",-1.39%,"5,000","50,427","50,630",33.62,"344,851",6.25,6.98,
62,금양,"85,600","7,400",-7.96%,500,"49,691","58,050",6.88,"1,163,822",-115.83,-24.34,
63,엔씨소프트,"223,000","5,500",-2.41%,500,"48,957","21,954",41.79,"72,175",16.78,13.73,
64,카카오페이,"35,950","1,950",-5.15%,500,"48,214","134,115",39.84,"223,721",95.87,3.08,
65,한화솔루션,"27,800","1,200",-4.14%,"5,000","47,786","171,893",23.30,"753,730",36.39,4.21,
66,한국항공우주,"48,050",900,-1.84%,"5,000","46,837","97,475",25.73,"485,395",65.46,8.78,
67,HD현대,"59,000","1,800",-2.96%,"1,000","46,606","78,993",17.63,"265,597",10.59,20.43,
68,오리온,"117,700","2,000",-1.67%,500,"46,534","39,536",41.85,"49,124",11.49,16.47,
69,SK바이오사이언스,"60,500",600,-0.98%,500,"46,454","76,784",5.27,"137,674",248.97,N/A,
70,한국타이어앤테크놀로지,"37,200",350,-0.93%,500,"46,082","123,875",39.54,"219,095",9.15,8.14,
71,코스모신소재,"145,000","7,100",-4.67%,"1,000","44,444","30,651",14.05,"243,413",213.86,12.13,
72,LG유플러스,"10,080",140,-1.37%,"5,000","44,010","436,611",38.97,"785,033",6.32,8.37,
73,현대오토에버,"158,400","7,600",-4.58%,500,"43,440","27,424",4.91,"89,445",30.17,8.00,
74,두산밥캣,"43,200","1,600",-3.57%,500,"43,308","100,249",39.52,"540,924",4.72,13.78,
75,LG디스플레이,"12,080",500,-3.97%,"5,000","43,224","357,816",16.91,"1,786,593",-0.91,-26.71,
76,유한양행,"56,200","1,400",-2.43%,"1,000","43,071","76,639",18.04,"739,278",57.52,4.86,
77,SK아이이테크놀로지,"60,200","2,600",-4.14%,"1,000","42,921","71,298",9.12,"265,993",179.70,-1.35,
78,현대제철,"32,000","1,250",-3.76%,"5,000","42,703","133,446",26.54,"583,111",8.22,5.56,
79,CJ제일제당,"276,500","4,500",-1.60%,"5,000","41,625","15,054",22.58,"17,422",15.47,9.26,
80,KODEX KOFR금리액티브(합성),"104,680",25,+0.02%,0,"40,261","38,461",0.00,"52,855",N/A,N/A,
81,미래에셋증권,"6,450",80,-1.23%,"5,000","39,043","605,316",13.05,"872,698",8.78,6.17,
82,현대건설,"34,000",900,-2.58%,"5,000","37,861","111,356",22.34,"596,740",10.51,5.49,
83,한온시스템,"7,000",150,-2.10%,100,"37,366","533,800",16.42,"919,618",27.13,0.89,
84,현대차2우B,"102,000","2,500",-2.39%,"5,000","36,843","36,121",61.81,"99,882",2.95,N/A,
85,GS,"39,550",300,-0.75%,"5,000","36,748","92,915",22.86,"108,630",3.10,18.86,
86,금호석유,"122,300","2,900",-2.32%,"5,000","35,851","29,314",18.57,"79,891",6.47,19.11,
87,삼성카드,"30,800",100,-0.32%,"5,000","35,685","115,859",5.80,"72,126",5.98,8.08,
88,F&F,"91,900","2,600",-2.75%,100,"35,204","38,307",13.10,"69,956",7.33,60.40,
89,KODEX CD금리액티브(합성),"1,015,540",315,+0.03%,0,"35,145","3,461",0.02,"73,383",N/A,N/A,
90,한미약품,"273,500","5,000",-1.80%,"2,500","34,358","12,562",15.42,"26,368",33.69,9.89,
91,NH투자증권,"9,910",100,-1.00%,"5,000","32,868","331,666",15.87,"337,168",7.75,4.32,
92,삼성증권,"35,850",750,-2.05%,"5,000","32,014","89,300",34.28,"129,804",5.95,6.88,
93,넷마블,"37,200","1,050",-2.75%,100,"31,975","85,954",22.90,"224,862",-4.42,-14.56,
94,강원랜드,"14,560",410,-2.74%,500,"31,150","213,940",13.68,"566,971",11.24,3.47,
95,코웨이,"41,950",350,-0.83%,500,"30,959","73,800",60.98,"115,118",7.32,21.72,
96,현대미포조선,"71,400","2,800",-3.77%,"5,000","28,519","39,942",22.73,"242,254",-33.55,-2.07,
97,한진칼,"42,450",550,-1.28%,"2,500","28,341","66,762",16.39,"60,824",18.09,33.64,
98,현대해상,"31,650",250,-0.78%,500,"28,295","89,400",37.48,"155,948",4.11,12.44,
99,한국금융지주,"49,550","1,650",-3.22%,"5,000","27,612","55,726",39.49,"95,552",4.06,8.45,
100,호텔신라,"69,900","1,700",-2.37%,"5,000","27,434","39,248",18.34,"367,783",47.75,-8.99,
101,쌍용C&E,"5,440",100,-1.81%,100,"27,324","502,283",1.94,"352,698",27.61,7.87,
102,KODEX 종합채권(AA-이상)액티브,"102,805",445,-0.43%,0,"27,023","26,286",0.00,"3,315",N/A,N/A,
103,농심,"442,000","2,000",-0.45%,"5,000","26,885","6,083",19.21,"15,898",17.37,5.17,
104,현대로템,"24,550","1,300",-5.03%,"5,000","26,794","109,142",10.56,"1,292,950",11.66,14.06,
105,SKC,"70,500","1,100",-1.54%,"5,000","26,697","37,868",11.33,"399,823",-8.41,-3.67,
